code_name,prompt_type,source_tokens,binary_tokens,assembly_tokens,compilation_success,binary_savings,assembly_savings,binary_savings_pct,assembly_savings_pct,estimated_cost_source,estimated_cost_binary,estimated_cost_assembly
binary_search,explanation,209,22758,1500,True,-22549,-1291,-10788.995215311004,-617.7033492822966,0.03627,0.7127399999999999,0.075
binary_search,optimization,210,22759,1501,True,-22549,-1291,-10737.619047619048,-614.7619047619048,0.0363,0.71277,0.07502999999999999
binary_search,debugging,217,22766,1508,True,-22549,-1291,-10391.244239631336,-594.9308755760368,0.03651,0.71298,0.07524
binary_search,conversion,206,22755,1497,True,-22549,-1291,-10946.11650485437,-626.6990291262136,0.03618,0.71265,0.07491
quick_sort,explanation,301,23074,3499,True,-22773,-3198,-7565.7807308970105,-1062.4584717607972,0.039029999999999995,0.7222200000000001,0.13496999999999998
quick_sort,optimization,302,23075,3500,True,-22773,-3198,-7540.728476821192,-1058.9403973509934,0.03906,0.72225,0.135
quick_sort,debugging,309,23082,3507,True,-22773,-3198,-7369.902912621359,-1034.9514563106795,0.03927,0.72246,0.13521
quick_sort,conversion,298,23071,3496,True,-22773,-3198,-7641.946308724831,-1073.1543624161072,0.03894,0.72213,0.13488
matrix_multiplication,explanation,286,22927,4144,True,-22641,-3858,-7916.433566433567,-1348.951048951049,0.038579999999999996,0.71781,0.15432
matrix_multiplication,optimization,287,22928,4145,True,-22641,-3858,-7888.850174216027,-1344.2508710801394,0.03861,0.71784,0.15435
matrix_multiplication,debugging,294,22935,4152,True,-22641,-3858,-7701.0204081632655,-1312.2448979591836,0.03882,0.71805,0.15456
matrix_multiplication,conversion,283,22924,4141,True,-22641,-3858,-8000.353356890459,-1363.2508833922261,0.038489999999999996,0.71772,0.15422999999999998
hash_table_simple,explanation,307,23133,4788,True,-22826,-4481,-7435.179153094462,-1459.6091205211726,0.039209999999999995,0.72399,0.17364
hash_table_simple,optimization,308,23134,4789,True,-22826,-4481,-7411.03896103896,-1454.8701298701299,0.03924,0.72402,0.17367
hash_table_simple,debugging,315,23141,4796,True,-22826,-4481,-7246.349206349207,-1422.5396825396824,0.03945,0.7242299999999999,0.17388
hash_table_simple,conversion,304,23130,4785,True,-22826,-4481,-7508.552631578948,-1474.0131578947369,0.03912,0.7239,0.17355
stack,explanation,197,22717,1000,True,-22520,-803,-11431.472081218275,-407.61421319796955,0.03591,0.71151,0.06
stack,optimization,198,22718,1001,True,-22520,-803,-11373.737373737375,-405.55555555555554,0.03594,0.71154,0.06002999999999999
stack,debugging,205,22725,1008,True,-22520,-803,-10985.365853658537,-391.7073170731707,0.03615,0.71175,0.06024
stack,conversion,194,22714,997,True,-22520,-803,-11608.247422680412,-413.9175257731959,0.03582,0.7114199999999999,0.05991
queue,explanation,207,22738,1033,True,-22531,-826,-10884.541062801933,-399.0338164251208,0.03621,0.71214,0.060989999999999996
queue,optimization,208,22739,1034,True,-22531,-826,-10832.211538461539,-397.11538461538464,0.03624,0.71217,0.06102
queue,debugging,215,22746,1041,True,-22531,-826,-10479.534883720931,-384.18604651162786,0.036449999999999996,0.71238,0.06122999999999999
queue,conversion,204,22735,1030,True,-22531,-826,-11044.607843137255,-404.9019607843137,0.03612,0.71205,0.060899999999999996
binary_tree,explanation,207,22833,1939,True,-22626,-1732,-10930.434782608696,-836.7149758454107,0.03621,0.7149899999999999,0.08817
binary_tree,optimization,208,22834,1940,True,-22626,-1732,-10877.884615384615,-832.6923076923076,0.03624,0.71502,0.0882
binary_tree,debugging,215,22841,1947,True,-22626,-1732,-10523.720930232557,-805.5813953488372,0.036449999999999996,0.71523,0.08840999999999999
binary_tree,conversion,204,22830,1936,True,-22626,-1732,-11091.176470588234,-849.0196078431372,0.03612,0.7149,0.08807999999999999
prime_sieve,explanation,187,23050,3516,True,-22863,-3329,-12226.20320855615,-1780.2139037433153,0.035609999999999996,0.7215,0.13548
prime_sieve,optimization,188,23051,3517,True,-22863,-3329,-12161.170212765957,-1770.744680851064,0.03564,0.72153,0.13551
prime_sieve,debugging,195,23058,3524,True,-22863,-3329,-11724.615384615385,-1707.179487179487,0.03585,0.72174,0.13572
prime_sieve,conversion,184,23047,3513,True,-22863,-3329,-12425.54347826087,-1809.2391304347825,0.035519999999999996,0.72141,0.13539
gcd_euclidean,explanation,121,22686,870,True,-22565,-749,-18648.760330578512,-619.0082644628098,0.03363,0.71058,0.0561
gcd_euclidean,optimization,122,22687,871,True,-22565,-749,-18495.90163934426,-613.9344262295082,0.033659999999999995,0.7106100000000001,0.05613
gcd_euclidean,debugging,129,22694,878,True,-22565,-749,-17492.248062015504,-580.6201550387597,0.03387,0.71082,0.05634
gcd_euclidean,conversion,118,22683,867,True,-22565,-749,-19122.8813559322,-634.7457627118645,0.03354,0.71049,0.05601
factorial_iterative,explanation,109,22737,1403,True,-22628,-1294,-20759.633027522934,-1187.1559633027523,0.03327,0.7121099999999999,0.07209
factorial_iterative,optimization,110,22738,1404,True,-22628,-1294,-20570.909090909092,-1176.3636363636363,0.033299999999999996,0.71214,0.07211999999999999
factorial_iterative,debugging,117,22745,1411,True,-22628,-1294,-19340.17094017094,-1105.982905982906,0.03351,0.71235,0.07233
factorial_iterative,conversion,106,22734,1400,True,-22628,-1294,-21347.169811320753,-1220.754716981132,0.03318,0.7120200000000001,0.072
hello_world,explanation,50,22631,376,True,-22581,-326,-45162.0,-652.0,0.0315,0.7089300000000001,0.04128
hello_world,optimization,51,22632,377,True,-22581,-326,-44276.470588235294,-639.2156862745098,0.031529999999999996,0.70896,0.04131
hello_world,debugging,58,22639,384,True,-22581,-326,-38932.75862068966,-562.0689655172414,0.03174,0.70917,0.04152
hello_world,conversion,47,22628,373,True,-22581,-326,-48044.68085106383,-693.6170212765958,0.03141,0.70884,0.04119
fibonacci,explanation,98,22705,1068,True,-22607,-970,-23068.367346938776,-989.795918367347,0.03294,0.71115,0.06204
fibonacci,optimization,99,22706,1069,True,-22607,-970,-22835.353535353537,-979.7979797979798,0.03297,0.71118,0.06206999999999999
fibonacci,debugging,106,22713,1076,True,-22607,-970,-21327.35849056604,-915.0943396226415,0.03318,0.7113900000000001,0.06228
fibonacci,conversion,95,22702,1065,True,-22607,-970,-23796.84210526316,-1021.0526315789474,0.03285,0.71106,0.06195
bubble_sort,explanation,205,22753,1768,True,-22548,-1563,-10999.024390243902,-762.4390243902438,0.03615,0.7125900000000001,0.08304
bubble_sort,optimization,206,22754,1769,True,-22548,-1563,-10945.631067961165,-758.73786407767,0.03618,0.71262,0.08306999999999999
bubble_sort,debugging,213,22761,1776,True,-22548,-1563,-10585.915492957747,-733.8028169014085,0.03639,0.71283,0.08327999999999999
bubble_sort,conversion,202,22750,1765,True,-22548,-1563,-11162.376237623763,-773.7623762376238,0.03606,0.7125,0.08295
